Title,Kimberwick
12 Years a Slave,3.0
Captain America: Civil War,7.0
Deadpool,6.0
Despicable Me,6.0
Detachment,4.0
Disconnect,6.0
Fury,5.0
Gone Girl,4.0
Hidden Figures,5.0
How to Train Your Dragon 2,7.0
Hugo,6.0
Manchester by the Sea,8.0
Me and Earl and the Dying Girl,8.0
Rogue One,7.0
Shutter Island,9.0
Silver Linings Playbook,9.0
Skyfall,8.0
Star Trek Into Darkness,9.0
Tangled,9.0
The Fault in Our Stars,3.0
The Hobbit: An Unexpected Journey,5.0
The Little Prince,9.0
What We Do in the Shadows,9.0
X-Men: Days of Future Past,6.0
Zootopia,3.0
