Title,Hegeman
12 Years a Slave,6.0
Amour,7.0
Arrival,4.0
Boyhood,4.0
Bridge of Spies,3.0
Dallas Buyers Club,3.0
Django Unchained,8.0
Doctor Strange,9.0
Drive,4.0
Edge of Tomorrow,4.0
Ex Machina,4.0
Flipped,7.0
Fury,9.0
Harry Potter and the Deathly Hallows: Part 1,8.0
How to Train Your Dragon,10.0
Hunt for the Wilderpeople,7.0
Inception,9.0
La La Land,8.0
The Artist,5.0
The Book Thief,10.0
The Help,10.0
The Imitation Game,3.0
The Lego Movie,6.0
The Martian,8.0
The Perks of Being a Wallflower,4.0
The Revenant,5.0
The Theory of Everything,3.0
Toy Story 3,6.0
X-Men: First Class,6.0
