Title,Haslett
50/50,7.0
Arrival,8.0
Beasts of No Nation,9.0
Big Hero 6,3.0
Boyhood,6.0
Captain Phillips,4.0
Dallas Buyers Club,3.0
Dawn of the Planet of the Apes,9.0
Despicable Me,9.0
Detachment,3.0
Flipped,8.0
Hidden Figures,8.0
Lion,4.0
Manchester by the Sea,6.0
Moana,3.0
Nebraska,3.0
Nightcrawler,8.0
Prisoners,3.0
Short Term 12,8.0
Tangled,9.0
The Big Short,3.0
The Book Thief,10.0
The Grand Budapest Hotel,8.0
The Hunger Games: Catching Fire,5.0
The King's Speech,4.0
The Lego Movie,9.0
Tyrannosaur,3.0
Warrior,10.0
