Title,Kov
50/50,8.0
Captain America: Civil War,7.0
Dawn of the Planet of the Apes,8.0
Disconnect,8.0
End of Watch,10.0
Hacksaw Ridge,10.0
Hell or High Water,4.0
Her,7.0
How to Train Your Dragon 2,7.0
Hunt for the Wilderpeople,9.0
Kubo and the Two Strings,7.0
Me and Earl and the Dying Girl,8.0
Rush,3.0
Shutter Island,9.0
Sicario,4.0
Skyfall,9.0
Star Trek Into Darkness,7.0
Star Wars: The Force Awakens,10.0
The Artist,4.0
The Grand Budapest Hotel,5.0
The Help,9.0
The Hunger Games: Catching Fire,3.0
The Social Network,8.0
Wreck-It Ralph,7.0
