Title,Frink
50/50,5.0
Argo,3.0
Big Hero 6,7.0
Boyhood,6.0
Captain America: The Winter Soldier,5.0
Creed,5.0
Despicable Me,9.0
Ex Machina,6.0
Gone Girl,5.0
Guardians of the Galaxy,10.0
Hacksaw Ridge,5.0
Hunt for the Wilderpeople,4.0
Inception,4.0
La La Land,10.0
Les Miserables,9.0
Manchester by the Sea,10.0
Midnight in Paris,8.0
Rise of the Planet of the Apes,8.0
Spotlight,8.0
Straight Outta Compton,8.0
Tangled,10.0
The Big Short,5.0
The Fighter,8.0
The Hobbit: An Unexpected Journey,5.0
The Imitation Game,8.0
The King's Speech,6.0
Wreck-It Ralph,4.0
