Title,Marilona
Beasts of No Nation,9.0
Big Hero 6,3.0
Bridge of Spies,8.0
Captain America: Civil War,8.0
Captain Phillips,10.0
Creed,3.0
Django Unchained,4.0
Doctor Strange,3.0
Kingsman: The Secret Service,10.0
La La Land,5.0
Mad Max: Fury Road,6.0
Moana,9.0
Rush,3.0
Scott Pilgrim vs. the World,8.0
Short Term 12,4.0
Shutter Island,10.0
The Avengers,8.0
The Grand Budapest Hotel,8.0
The King's Speech,7.0
The Little Prince,6.0
The Martian,3.0
The Theory of Everything,3.0
The Town,8.0
The Wolf of Wall Street,8.0
True Grit,3.0
Tucker and Dale vs Evil,7.0
Wreck-It Ralph,8.0
Zootopia,5.0
