Title,Kupsch
12 Years a Slave,9.0
127 Hours,6.0
About Time,10.0
Amour,8.0
Arrival,8.0
Beasts of No Nation,10.0
Black Swan,10.0
Captain Phillips,7.0
Dawn of the Planet of the Apes,3.0
Deadpool,10.0
Edge of Tomorrow,3.0
Hacksaw Ridge,6.0
Harry Potter and the Deathly Hallows: Part 1,9.0
"I, Daniel Blake",6.0
Kick-Ass,10.0
La La Land,5.0
Lone Survivor,10.0
Moonrise Kingdom,9.0
Pride,10.0
Skyfall,8.0
Spotlight,6.0
The Fighter,5.0
The Grand Budapest Hotel,6.0
The Help,7.0
The Hobbit: The Desolation of Smaug,10.0
The Town,7.0
True Grit,3.0
Whiplash,3.0
